x,y,z,zoneLetter,zoneNumber,x_rel,y_rel,z_rel
596133.9833691465,7262251.1028906405,1020.43,J,22.0,148.874882148928,139.6194745581597,5.989999999999895
596133.7678614936,7262253.025785921,1020.41,J,22.0,148.65937449608464,141.542369838804,5.969999999999914
596133.3737903823,7262254.866390517,1020.41,J,22.0,148.2653033847455,143.38297443464398,5.969999999999914
596133.3169518796,7262256.44474475,1020.41,J,22.0,148.20846488210373,144.96132866758853,5.969999999999914
596133.1021249956,7262257.244508122,1020.41,J,22.0,147.9936379980063,145.76109203975648,5.969999999999914
596133.0600676329,7262257.291211555,1020.42,J,22.0,147.95158063538838,145.8077954724431,5.9799999999999045
596133.0696378652,7262257.4489387795,1020.42,J,22.0,147.96115086763166,145.9655226971954,5.9799999999999045
596132.8763475996,7262258.907578537,1020.41,J,22.0,147.76786060200538,147.42416245490313,5.969999999999914
596132.603511066,7262261.118619434,1020.41,J,22.0,147.49502406839747,149.63520335126668,5.969999999999914
596132.2595194553,7262262.847493518,1020.41,J,22.0,147.15103245771024,151.3640774358064,5.969999999999914
596132.356854301,7262264.656832639,1020.41,J,22.0,147.2483673034003,153.17341655679047,5.969999999999914
596132.6671846359,7262266.6224856,1020.41,J,22.0,147.5586976383347,155.1390695180744,5.969999999999914
596132.3568951517,7262268.323274352,1020.41,J,22.0,147.2484081541188,156.83985826931894,5.969999999999914
596132.0552830619,7262270.051842885,1020.41,J,22.0,146.9467960643815,158.5684268027544,5.969999999999914
596131.9219006135,7262271.593608774,1020.41,J,22.0,146.81341361592058,160.1101926919073,5.969999999999914
596131.9094407696,7262273.459401963,1020.41,J,22.0,146.80095377203543,161.97598588094115,5.969999999999914
596131.615206164,7262275.030125501,1020.4,J,22.0,146.50671916641295,163.5467094182968,5.959999999999923
596131.4801730285,7262275.114606092,1020.41,J,22.0,146.37168603099417,163.63119000941515,5.969999999999914
596131.4975078435,7262275.170176901,1020.41,J,22.0,146.3890208459925,163.68676081858575,5.969999999999914
596131.5648965441,7262276.329978079,1020.41,J,22.0,146.45640954654664,164.84656199626625,5.969999999999914
596131.7653033115,7262278.333525953,1020.41,J,22.0,146.65681631397456,166.85010987054557,5.969999999999914
596131.8038161431,7262280.217536109,1020.41,J,22.0,146.69532914552838,168.7341200262308,5.969999999999914
596132.1341254724,7262282.619311264,1020.41,J,22.0,147.02563847484998,171.13589518144727,5.969999999999914
596132.1302685579,7262284.503615788,1020.41,J,22.0,147.0217815603828,173.0201997058466,5.969999999999914
596132.6936431596,7262286.291145767,1020.41,J,22.0,147.58515616203658,174.80772968474776,5.969999999999914
596133.5202873037,7262288.151120007,1020.42,J,22.0,148.41180030617397,176.66770392470062,5.9799999999999045
596134.0233025706,7262289.790555626,1020.42,J,22.0,148.91481557302177,178.30713954381645,5.9799999999999045
596134.5364143389,7262291.661988242,1020.42,J,22.0,149.42792734131217,180.1785721592605,5.9799999999999045
596134.5912665455,7262292.2371018,1020.42,J,22.0,149.48277954792138,180.75368571747094,5.9799999999999045
596134.6620347811,7262292.663580019,1020.41,J,22.0,149.55354778352194,181.1801639366895,5.969999999999914
596134.9288251904,7262294.462461675,1020.42,J,22.0,149.82033819286153,182.97904559224844,5.9799999999999045
596134.9430772741,7262296.513714104,1020.42,J,22.0,149.83459027658682,185.030298021622,5.9799999999999045
596135.2460308919,7262298.637223011,1021.28,J,22.0,150.13754389435053,187.15380692854524,6.839999999999918
596135.519157107,7262300.129742164,1021.28,J,22.0,150.41067010944244,188.64632608182728,6.839999999999918
596136.5058163643,7262301.840090773,1021.28,J,22.0,151.39732936676592,190.35667469073087,6.839999999999918
596137.3498067639,7262303.7556244545,1021.28,J,22.0,152.24131976638455,192.272208372131,6.839999999999918
596137.8603941194,7262305.2650647815,1021.28,J,22.0,152.75190712185577,193.7816486991942,6.839999999999918
596138.6020321859,7262307.088498196,1021.28,J,22.0,153.4935451883357,195.6050821132958,6.839999999999918
596139.1869065034,7262308.309674982,1021.28,J,22.0,154.07841950585134,196.82625889964402,6.839999999999918
596139.4971894583,7262309.0500874575,1021.28,J,22.0,154.3887024607975,197.56667137518525,6.839999999999918
596139.5222990223,7262309.003501771,1021.27,J,22.0,154.41381202475168,197.5200856886804,6.829999999999927
596139.7525400963,7262310.422067524,1021.27,J,22.0,154.64405309874564,198.93865144159645,6.829999999999927
596140.497006184,7262312.653891049,1021.27,J,22.0,155.38851918641012,201.17047496698797,6.829999999999927
596140.8324378978,7262314.572958169,1021.27,J,22.0,155.72395090025384,203.08954208623618,6.829999999999927
596141.0252651393,7262316.706512179,1021.27,J,22.0,155.9167781417491,205.22309609688818,6.829999999999927
596140.8970423725,7262318.9908106355,1021.27,J,22.0,155.7885553749511,207.50739455316216,6.829999999999927
596140.595300986,7262320.700820088,1022.17,J,22.0,155.48681398842018,209.21740400604904,7.7299999999999045
596141.4631671478,7262322.393422665,1022.17,J,22.0,156.35468015028164,210.91000658273697,7.7299999999999045
596142.1137652252,7262324.533075904,1022.17,J,22.0,157.00527822761796,213.04965982120484,7.7299999999999045
